單字,詞性,中文解釋,例句,例句翻譯
clarify,v.,澄清；闡明,Could you please clarify what you mean by "critical thinking"?,你能否澄清你所說的「批判性思考」是什麼意思？
coherent,adj.,連貫的；條理清楚的,Your essay needs to have a coherent argument from beginning to end.,你的論文需要從頭到尾都有連貫的論點。
comprehend,v.,理解；領會,It takes time to fully comprehend complex scientific theories.,完全理解複雜的科學理論需要時間。
concise,adj.,簡潔的；精煉的,Please provide a concise summary of the article.,請提供文章的簡潔摘要。
concrete,adj.,具體的；實體的,We need concrete evidence to support your hypothesis.,我們需要具體的證據來支持你的假設。
consistent,adj.,一致的；持續的,Consistent effort is essential for achieving academic excellence.,持續的努力對於取得學術卓越至關重要。
constitute,v.,構成；組成,These three elements constitute the core of the scientific method.,這三個要素構成了科學方法的核心。
constrain,v.,限制；束縛,Tight deadlines often constrain students' creativity.,緊迫的截止日期常限制學生的創造力。
contemplate,v.,沉思；仔細考慮,He spent hours contemplating his future career path.,他花了數小時沉思他未來的職涯道路。
contemporary,adj.,當代的；同時代的,Contemporary art often reflects current social issues.,當代藝術常反映當前的社會議題。
contradict,v.,反駁；與...矛盾,The new evidence seemed to contradict the previous findings.,新的證據似乎與先前的發現相矛盾。
crucial,adj.,關鍵的；決定性的,Time management is crucial for high school students.,時間管理對高中生來說至關重要。
cultivate,v.,培養；耕作,Reading widely helps cultivate a broader perspective.,廣泛閱讀有助於培養更廣闊的視野。
curriculum,n.,課程；課程計畫,The school is updating its curriculum to include more digital literacy courses.,學校正在更新課程，以納入更多數位素養課程。
deliberate,adj.,故意的；深思熟慮的,The student made a deliberate choice to study abroad.,這名學生經過深思熟慮，選擇出國留學。
demonstrate,v.,證明；展示,Students will demonstrate their understanding through a presentation.,學生將透過簡報展示他們的理解。
derive,v.,源自；得到,Many English words derive from Latin.,許多英文單字源自拉丁語。
designate,v.,指定；選定,The principal designated a student as the representative for the meeting.,校長指定一名學生作為會議的代表。
devastate,v.,摧毀；使震驚,The news of her exam failure devastated her.,她考試不及格的消息讓她大受打擊。
differentiate,v.,區分；辨別,It's important to differentiate between facts and opinions.,區分事實和意見很重要。
diminish,v.,減少；減弱,The lack of sleep will diminish your ability to concentrate.,睡眠不足會降低你的專注力。
discreet,adj.,謹慎的；不引人注意的,She made a discreet inquiry about the scholarship application process.,她謹慎地詢問了獎學金申請流程。
discriminate,v.,歧視；區分,It is wrong to discriminate against people based on their background.,根據背景歧視他人是錯誤的。
disperse,v.,分散；散開,After the assembly, the students dispersed to their classrooms.,集會結束後，學生們散開回到各自的教室。
distinct,adj.,截然不同的；清晰的,Each student has a distinct learning style.,每個學生都有獨特的學習風格。
distinguish,v.,區分；辨別,Can you distinguish between these two similar-looking plants?,你能區分這兩種看起來相似的植物嗎？
distribute,v.,分發；分配,The teacher will distribute the test papers after the class.,下課後老師會分發考卷。
diverse,adj.,多樣的；不同的,The school offers a diverse range of extracurricular activities.,學校提供多樣化的課外活動。
elaborate,v.,詳盡闡述；精細製作,Could you elaborate on your research findings in more detail?,你能更詳細地闡述你的研究結果嗎？
acquire,v.,獲得,Students can acquire new knowledge by reading extensively.,學生可以透過廣泛閱讀來獲得新知識。
adjust,v.,調整,It takes time to adjust to a new school environment.,需要時間來適應新的學校環境。
alternative,n.,替代方案,There are alternative ways to solve this math problem.,有其他方法可以解決這個數學問題。
analysis,n.,分析,The scientist presented a detailed analysis of the experimental data.,這位科學家對實驗數據進行了詳細分析。
approach,n.,方法,We need a new approach to tackle the environmental issues.,我們需要一種新方法來解決環境問題。
assess,v.,評估,Teachers often assess students' progress through tests.,老師們經常透過考試來評估學生的進步。
assume,v.,假設；認為,Don't assume anything; always ask if you're unsure.,不要假設任何事；不確定時一定要問。
capable,adj.,有能力的,She is a very capable student and always gets good grades.,她是一位非常有能力的學生，總是能取得好成績。
commitment,n.,承諾；投入,Success requires commitment and hard work.,成功需要承諾和努力。
complex,adj.,複雜的,The human brain is an incredibly complex organ.,人腦是一個非常複雜的器官。
component,n.,構成要素；零件,Each component of the project is crucial for its success.,專案的每個組成部分對其成功都至關重要。
consequence,n.,結果；後果,Failing to study has serious consequences for your grades.,不讀書會對你的成績造成嚴重後果。
considerable,adj.,相當多的；重要的,She spent a considerable amount of time preparing for the exam.,她花了相當多的時間準備考試。
constitute,v.,構成；組成,These elements constitute the core of the problem.,這些要素構成了問題的核心。
constant,adj.,持續不斷的；恆定的,He is under constant pressure to perform well in school.,他在學校表現良好承受著持續的壓力。
context,n.,背景；語境,Understanding the historical context helps explain the event.,了解歷史背景有助於解釋這個事件。
contrast,n.,對比,In contrast to his brother, he is very shy.,與他哥哥相反，他非常害羞。
contribute,v.,貢獻；促成,Everyone should contribute to protecting the environment.,每個人都應該為保護環境做出貢獻。
crucial,adj.,關鍵的；重要的,Good time management is crucial for academic success.,良好的時間管理對學業成功至關重要。
decline,v.,下降,The number of students choosing to study abroad has declined.,選擇出國留學的學生人數有所下降。
demonstrate,v.,展示；證明,The experiment demonstrated the principles of physics.,這個實驗展示了物理學的原理。
derive,v.,獲得；源自,We derive great pleasure from helping others.,我們從幫助他人中獲得極大的樂趣。
distinguish,v.,區分；辨別,It's important to distinguish between facts and opinions.,區分事實和意見很重要。
diverse,adj.,多樣的,Our school has a diverse student body from different cultures.,我們學校有來自不同文化背景的多樣化學生群體。
domain,n.,領域；範圍,Computer science is a rapidly expanding domain.,電腦科學是一個快速擴展的領域。
eliminate,v.,消除；淘汰,We need to eliminate distractions to focus on our studies.,我們需要消除干擾才能專心學習。
emerge,v.,出現；浮現,New technologies are constantly emerging in the market.,新技術不斷在市場上湧現。
emphasize,v.,強調,The teacher emphasized the importance of teamwork.,老師強調了團隊合作的重要性。
encounter,v.,遇到,Students may encounter difficulties when learning a new language.,學生在學習新語言時可能會遇到困難。
enhance,v.,提升；增強,Reading can greatly enhance your vocabulary and writing skills.,閱讀可以大大提升你的詞彙量和寫作能力。
ensure,v.,確保,Please ensure all doors are locked before you leave.,離開前請確保所有門都已上鎖。
equivalent,adj.,相等的,A score of 90 in this test is equivalent to an A grade.,這項測試中90分相當於A等。
essential,adj.,必要的,Healthy eating is essential for a good life.,健康飲食對美好生活至關重要。
establish,v.,建立；確立,The school was established in 1950.,這所學校於1950年建立。
evaluate,v.,評估；評價,We need to evaluate the pros and cons of each option.,我們需要評估每個選項的優缺點。
evident,adj.,明顯的；顯然的,It was evident that she had practiced a lot for the performance.,很明顯她為這次表演練習了很多。
exceed,v.,超過,Do not exceed the speed limit when driving.,開車時不要超速。
exclude,v.,排除,The list of candidates excludes those who didn't meet the requirements.,候選人名單排除了那些不符合要求的人。
facilitate,v.,促進；使便利,Technology can facilitate communication among people.,科技可以促進人與人之間的溝通。
feature,n.,特徵；特色,The new smartphone has many exciting features.,這款新智慧型手機有許多令人興奮的功能。
fluctuate,v.,波動；起伏,Temperatures can fluctuate greatly during the day.,白天溫度可能會大幅波動。
generate,v.,產生；發電,Renewable energy sources generate electricity without pollution.,可再生能源可以在沒有污染的情況下發電。
illustrate,v.,說明；闡明,The teacher used examples to illustrate the concept.,老師用例子來說明這個概念。
imply,v.,暗示；意味著,His silence seemed to imply agreement.,他的沉默似乎暗示著同意。
incorporate,v.,包含；納入,We decided to incorporate student feedback into our plan.,我們決定將學生的意見納入我們的計畫。
indicate,v.,指示；表明,The survey results indicate a growing interest in environmental issues.,調查結果表明人們對環境問題的興趣日益增長。
inevitable,adj.,不可避免的,Change is an inevitable part of life.,改變是生活中不可避免的一部分。
initial,adj.,最初的,My initial reaction was surprise, but then I understood.,我最初的反應是驚訝，但後來我明白了。
interpret,v.,解釋；理解,It's important to interpret data correctly to draw valid conclusions.,正確解釋數據以得出有效結論很重要。
intervene,v.,干預；介入,The teacher had to intervene to stop the argument between students.,老師不得不介入來阻止學生之間的爭吵。
acknowledge,v.,承認,感謝,The student acknowledged her teacher's help in preparing for the exam.,這位學生感謝老師在準備考試時的幫助。
adequate,adj.,足夠的,We need to ensure we have adequate time to complete the project before the deadline.,我們需要確保在截止日期前有足夠的時間完成這個專案。
allocate,v.,分配,The school decided to allocate more funds to the science department.,學校決定撥更多資金給科學系。
analyze,v.,分析,Students are asked to analyze the data and draw conclusions.,學生被要求分析數據並得出結論。
anticipate,v.,預期,We anticipate a challenging semester ahead, but we are ready.,我們預期前方會是一個充滿挑戰的學期，但我們已準備好。
apparent,adj.,明顯的,It was apparent that he had not studied for the test.,很明顯他沒有為考試讀書。
approach,n.,方法,The new approach to teaching math has shown positive results.,這種新的數學教學方法已顯示出正面的成果。
arbitrary,adj.,任意的,武斷的,The rules seemed arbitrary and unfair to many students.,這些規則對許多學生來說似乎是武斷且不公平的。
assess,v.,評估,Teachers often assess students' progress through various assignments.,老師經常透過各種作業評估學生的進度。
assumption,n.,假設,Your argument is based on a false assumption.,你的論點是基於一個錯誤的假設。
attain,v.,達到,獲得,She worked hard to attain her goal of getting into a top university.,她努力工作以達成進入頂尖大學的目標。
authorize,v.,授權,Only the principal is authorized to approve such requests.,只有校長被授權批准此類請求。
bias,n.,偏見,It's important to recognize and avoid personal bias when writing research papers.,在撰寫研究報告時，認識並避免個人偏見是很重要的。
capacity,n.,容量,能力,The new library has a large seating capacity for students.,新圖書館有很大的學生容納量。
clarify,v.,澄清,Could you please clarify what you mean by "critical thinking"?,你能澄清一下你所說的「批判性思考」是什麼意思嗎？
coherent,adj.,連貫的,有條理的,Your essay needs to be more coherent and logically structured.,你的文章需要更連貫且邏輯結構更清晰。
compel,v.,強迫,The severe weather compelled the school to cancel classes.,惡劣的天氣迫使學校停課。
comprehensive,adj.,全面的,The history textbook provides a comprehensive overview of the subject.,這本歷史教科書提供了該主題的全面概述。
conclude,v.,結束,推斷,We can conclude from the experiment that light travels faster than sound.,我們可以從實驗中推斷出光速比聲速快。
consequently,adv.,因此,He failed to submit his homework; consequently, his grades suffered.,他沒有交作業；因此，他的成績受到影響。
considerable,adj.,相當多的,The project required a considerable amount of effort and time.,這個專案需要相當多的努力和時間。
constitute,v.,構成,These factors constitute a major challenge for the team.,這些因素構成了團隊的一個主要挑戰。
contemporary,adj.,當代的,The art exhibition features works by contemporary Taiwanese artists.,這個藝術展覽展出了當代台灣藝術家的作品。
contradict,v.,反駁,矛盾,His actions often contradict his words, making him untrustworthy.,他的行為經常與他的言論矛盾，使他不可信。
contribute,v.,貢獻,Every student is encouraged to contribute to class discussions.,鼓勵每位學生參與課堂討論。
convenient,adj.,方便的,The school's location is very convenient for students who live nearby.,學校的位置對於住在附近的學生來說非常方便。
crucial,adj.,關鍵的,Getting enough sleep is crucial for maintaining good health and academic performance.,獲得充足的睡眠對於保持健康和學業表現至關重要。
dedicate,v.,奉獻,She decided to dedicate her life to helping others through volunteer work.,她決定奉獻一生透過志工工作幫助他人。
define,v.,定義,Before we start, let's define the key terms we'll be using.,在我們開始之前，讓我們先定義我們將使用的關鍵術語。
demonstrate,v.,證明,示範,The experiment will demonstrate how plants absorb water.,這個實驗將示範植物如何吸收水分。
derive,v.,源自,得到,Many English words derive from Latin or Greek roots.,許多英語單字源自拉丁語或希臘語詞根。
designate,v.,指定,The teacher designated a group leader for each project.,老師為每個專案指定了一位組長。
devise,v.,設計,想出,They had to devise a new strategy to solve the complex problem.,他們必須設計一個新的策略來解決這個複雜的問題。
dimension,n.,尺寸,方面,We need to consider every dimension of the problem before making a decision.,在做決定之前，我們需要考慮問題的各個方面。
distinguish,v.,區分,It's important to distinguish between facts and opinions.,區分事實和意見是很重要的。
diverse,adj.,多樣的,Taiwan has a diverse culture influenced by various historical periods.,台灣擁有受不同歷史時期影響的多元文化。
dominate,v.,支配,The school's basketball team has dominated the league for the past five years.,這支學校籃球隊在過去五年中一直稱霸聯盟。
elaborate,v.,詳細說明,Could you please elaborate on your point about climate change?,你能詳細說明你關於氣候變遷的觀點嗎？
eligible,adj.,合格的,Only students with a GPA above 3.5 are eligible for the scholarship.,只有平均成績在3.5以上的學生才有資格獲得獎學金。
emerge,v.,出現,New evidence emerged that challenged the initial theory.,新的證據出現，挑戰了最初的理論。
emphasize,v.,強調,The teacher emphasized the importance of active participation in class.,老師強調了積極參與課堂的重要性。
encounter,v.,遭遇,Students often encounter new challenges when studying abroad.,學生在海外學習時經常會遇到新的挑戰。
enhance,v.,提升,Regular exercise can enhance your physical and mental health.,定期運動可以提升你的身心健康。
entail,v.,伴隨,牽涉,This new policy will entail significant changes in how we operate.,這項新政策將伴隨我們營運方式的重大改變。
equivalent,adj.,相等的,One hour of studying English is not always equivalent to one hour of practicing speaking.,一小時的英文學習不一定等同於一小時的口語練習。
erode,v.,侵蝕,Soil erosion is a serious environmental problem in some areas.,土壤侵蝕在某些地區是一個嚴重的環境問題。
ethical,adj.,倫理的,道德的,Scientists must adhere to strict ethical guidelines in their research.,科學家在研究中必須遵守嚴格的倫理準則。
evaluate,v.,評估,We need to evaluate the pros and cons of each option before making a choice.,在做出選擇之前，我們需要評估每個選項的優缺點。
evident,adj.,明顯的,It was evident from her expression that she was upset.,從她的表情可以明顯看出她很沮喪。
exaggerate,v.,誇大,Don't exaggerate the difficulties; it's not as hard as you think.,不要誇大困難；它沒有你想像的那麼難。
acquire,v.,獲得,Students can acquire new knowledge by reading widely and asking questions.,學生可以透過廣泛閱讀和提問來獲得新知識。
adapt,v.,適應,It's important to adapt to new learning methods as you progress in school.,隨著學業進步，適應新的學習方法很重要。
adjust,v.,調整,The teacher had to adjust her lesson plan to fit the students' needs.,老師必須調整她的課程計畫以符合學生的需求。
allocate,v.,分配,The school will allocate funds to different clubs based on their proposals.,學校將根據社團的提案來分配資金。
anticipate,v.,預期,We anticipate that the exam will be challenging, so we need to prepare well.,我們預期考試會很有挑戰性，所以需要好好準備。
apparent,adj.,明顯的,It was apparent from his high scores that he understood the material well.,從他高分來看，他很明顯地理解了這些教材。
aspect,n.,方面,Time management is an important aspect of academic success.,時間管理是學業成功的一個重要方面。
assess,v.,評估,The teacher will assess our understanding through a series of quizzes.,老師將透過一系列小考來評估我們的理解程度。
assume,v.,假設,Let's assume the project will take two weeks to complete.,我們假設這個專案需要兩週才能完成。
attribute,v.,歸因於,She attributed her success to hard work and perseverance.,她將自己的成功歸因於努力工作和毅力。
authorize,v.,授權,Only the principal can authorize major changes to the school's policy.,只有校長才能授權對學校政策進行重大更改。
capacity,n.,容量;能力,Our school library has the capacity to hold over ten thousand books.,我們學校圖書館能容納一萬多本書。
clarify,v.,闡明,Could you please clarify what you mean by "critical thinking"?,你能否闡明你所說的「批判性思考」是什麼意思？
coherent,adj.,連貫的,Your essay needs to have a coherent argument from beginning to end.,你的論文需要從頭到尾都有連貫的論點。
compensate,v.,補償,The company offered to compensate customers for the inconvenience.,公司提出補償顧客所造成的不便。
compile,v.,編纂,He spent months compiling data for his research project.,他花了數個月為他的研究專案編纂資料。
comply,v.,遵守,All students must comply with the school's rules and regulations.,所有學生都必須遵守學校的規章制度。
comprehend,v.,理解,It's sometimes difficult to comprehend complex scientific theories.,有時很難理解複雜的科學理論。
compromise,n.,妥協,After a long discussion, they reached a compromise on the group project.,經過長時間的討論，他們在小組專案上達成了妥協。
consequence,n.,結果,Failing to study for the exam will have serious consequences.,考試不讀書將會產生嚴重的後果。
considerable,adj.,相當多的,There has been a considerable improvement in her English grades.,她的英文成績有了相當大的進步。
consistent,adj.,一致的,To achieve good results, you need to be consistent in your efforts.,要取得好成績，你的努力需要持之以恆。
constitute,v.,構成,These elements constitute the main parts of the experiment.,這些要素構成了實驗的主要部分。
constrain,v.,限制,Lack of time may constrain our ability to complete all tasks.,時間不足可能會限制我們完成所有任務的能力。
contemplate,v.,沉思;考慮,She often contemplates her future career path after graduation.,她經常沉思畢業後的職業生涯規劃。
contemporary,adj.,當代的,The exhibition features works by contemporary artists from Taiwan.,這次展覽展出了來自台灣的當代藝術家的作品。
contribute,v.,貢獻,Each member should contribute ideas to the team discussion.,每個成員都應該為團隊討論貢獻想法。
conventional,adj.,傳統的,Many students prefer conventional textbooks over digital ones.,許多學生偏好傳統教科書而非數位教科書。
crucial,adj.,關鍵的,Having good study habits is crucial for academic success.,擁有良好的學習習慣對學業成功至關重要。
deduce,v.,推斷,From the evidence, we can deduce that the suspect was at the scene.,從證據中，我們可以推斷嫌疑犯當時在現場。
define,v.,定義,Can you define the term "global warming" in your own words?,你能用你自己的話定義「全球暖化」這個詞嗎？
demonstrate,v.,展示;證明,The science project will demonstrate how solar energy works.,這個科學專案將展示太陽能如何運作。
derive,v.,取得;起源於,Many English words derive from Latin or Greek.,許多英文字源自拉丁文或希臘文。
designate,v.,指定,The teacher designated him as the group leader for the project.,老師指定他為該專案的組長。
detect,v.,偵測,Modern technology can detect even tiny changes in temperature.,現代科技可以偵測到溫度上微小的變化。
devise,v.,設計;想出,The students had to devise a new plan after the first one failed.,學生們在第一個計畫失敗後，必須想出一個新計畫。
dimension,n.,面向;維度,The problem has multiple dimensions, making it complex to solve.,這個問題有多個面向，使其解決起來很複雜。
disperse,v.,分散,The crowd began to disperse after the concert ended.,演唱會結束後，人群開始分散。
distinguish,v.,區分,It's important to distinguish between facts and opinions.,區分事實和意見是很重要的。
diverse,adj.,多樣的,Our class has students from diverse cultural backgrounds.,我們班級的學生來自多元的文化背景。
domestic,adj.,國內的;家庭的,The company focuses on both domestic and international markets.,這家公司同時專注於國內外市場。
dominate,v.,主宰,In some sports, one team might dominate the entire game.,在某些運動中，一支隊伍可能會主宰整場比賽。
dynamic,adj.,動態的,The job market is very dynamic, always changing with new trends.,就業市場非常動態，總是不斷隨著新趨勢變化。
elaborate,v.,闡述,Could you elaborate on your point about the impact of social media?,你能詳細闡述你關於社群媒體影響的觀點嗎？
eliminate,v.,消除,We need to eliminate all distractions to focus on our studies.,我們需要消除所有干擾，專注於學習。
emerge,v.,出現,New evidence emerged that changed the course of the investigation.,新的證據浮現，改變了調查的方向。
emphasize,v.,強調,The teacher emphasized the importance of understanding, not just memorizing.,老師強調理解的重要性，而不僅僅是記憶。
encounter,v.,遇到,Students often encounter new challenges when they enter university.,學生進入大學後常會遇到新的挑戰。
enhance,v.,提升,Reading can greatly enhance your vocabulary and writing skills.,閱讀可以大大提升你的詞彙量和寫作能力。
enroll,v.,註冊,Many students plan to enroll in summer courses to catch up.,許多學生計畫註冊暑期課程以趕上進度。
alter,v.,改變,The new school policy will alter the way students choose their elective courses.,新的校規將改變學生選擇選修課程的方式。
anticipate,v.,預期,We anticipate that the results of the exam will be released next week.,我們預期考試結果將於下週公佈。
apparent,adj.,明顯的,It's apparent that she has put a lot of effort into her presentation.,很明顯地，她為她的報告付出了很多努力。
approach,n.,方法,The teacher introduced a new approach to solving complex math problems.,老師介紹了一種解決複雜數學問題的新方法。
appropriate,adj.,適當的,It's important to use appropriate language when writing a formal essay.,撰寫正式論文時，使用適當的語言很重要。
assess,v.,評估,The committee needs to assess the impact of the new project on the environment.,委員會需要評估新專案對環境的影響。
assume,v.,假設；認為,We shouldn't assume that everyone shares the same opinion on this issue.,我們不應該假設每個人對這個問題都有相同的看法。
attribute,v.,歸因於,He attributed his success to hard work and perseverance.,他將他的成功歸因於努力工作和毅力。
bias,n.,偏見,The news report was criticized for showing a clear bias towards one political party.,該新聞報導因明顯偏袒某一政黨而受到批評。
capable,adj.,有能力的,She is capable of handling multiple tasks simultaneously.,她有能力同時處理多項任務。
cite,v.,引述,Students must cite their sources correctly to avoid plagiarism.,學生必須正確引述資料來源以避免抄襲。
clarify,v.,闡明,Could you please clarify your point about the main cause of the problem?,你是否能闡明你關於問題主要原因的觀點？
coherent,adj.,連貫的,Your essay needs to have a coherent argument from beginning to end.,你的論文需要從頭到尾保持論點的連貫性。
compel,v.,強迫,The urgent situation compelled him to act immediately.,這個緊急情況迫使他立即採取行動。
comprehensive,adj.,全面的,The study provided a comprehensive analysis of the economic changes.,這項研究對經濟變化提供了全面的分析。
conclude,v.,總結；斷定,Based on the evidence, we can conclude that the theory is plausible.,根據證據，我們可以斷定這個理論是合理的。
conform,v.,遵守；符合,Students are expected to conform to the school's dress code.,學生被要求遵守學校的服裝規定。
consequently,adv.,因此,She missed the deadline; consequently, her application was rejected.,她錯過了截止日期；因此，她的申請被拒絕了。
consistent,adj.,一致的,His performance in class has been consistent throughout the semester.,他在這學期課堂上的表現一直很穩定。
constitute,v.,構成,These elements constitute the core principles of democracy.,這些元素構成了民主的核心原則。
contemplate,v.,沉思；考慮,He spent a long time contemplating his future career options.,他花了很多時間思考他未來的職業選擇。
context,n.,背景；上下文,To fully understand the poem, you need to consider its historical context.,要完全理解這首詩，你需要考慮其歷史背景。
contradict,v.,矛盾,Her actions often contradict her stated beliefs.,她的行為經常與她所聲稱的信念相矛盾。
conventional,adj.,傳統的,Many artists challenge conventional ideas about beauty and art.,許多藝術家挑戰關於美和藝術的傳統觀念。
correlate,v.,相關,Research shows that sleep quality often correlates with academic performance.,研究顯示睡眠品質通常與學業表現相關。
crucial,adj.,重要的,Having a good study plan is crucial for success in the GSAT exam.,擁有良好的讀書計畫對於學測的成功至關重要。
deduce,v.,推斷,From the clues provided, detectives were able to deduce the suspect's motive.,根據提供的線索，偵探們能夠推斷出嫌犯的動機。
define,v.,定義,It's difficult to define happiness, as it means different things to different people.,很難定義幸福，因為它對不同的人意味著不同的事物。
demonstrate,v.,證明；展示,The experiment aims to demonstrate the effects of gravity.,這個實驗旨在證明重力的影響。
depict,v.,描繪,The novel vividly depicts life in a small rural village.,這部小說生動地描繪了一個小鄉村的生活。
derive,v.,源自；取得,Many English words derive from Latin or Greek roots.,許多英文單字源自拉丁語或希臘語詞根。
designate,v.,指定,The principal designated a specific area for student parking.,校長指定了一個學生停車的特定區域。
devise,v.,設計；想出,Scientists are trying to devise a new method to combat climate change.,科學家們正試圖設計一種對抗氣候變化的新方法。
dimension,n.,尺寸；面向,We need to consider every dimension of the problem before making a decision.,在做出決定之前，我們需要考慮問題的每一個面向。
disperse,v.,分散,The crowd began to disperse after the concert ended.,演唱會結束後，人群開始散去。
distort,v.,扭曲,The media can sometimes distort the truth to create a more dramatic story.,媒體有時會扭曲事實以製造更戲劇性的故事。
diverse,adj.,多樣的,Taiwan is known for its diverse culture and beautiful landscapes.,台灣以其多元文化和美麗的風景而聞名。
domain,n.,領域,Artificial intelligence is a rapidly growing domain in computer science.,人工智慧是電腦科學中一個快速發展的領域。
elaborate,v.,詳述,Could you elaborate on your proposed solution to the budget deficit?,你是否能詳述你提出的解決預算赤字的方案？
eliminate,v.,消除,The new system aims to eliminate human error in data entry.,新系統旨在消除數據輸入中的人為錯誤。
emerge,v.,出現,New evidence has emerged that challenges the previous findings.,新的證據已經出現，挑戰了先前的發現。
emphasize,v.,強調,The teacher emphasized the importance of understanding rather than memorizing.,老師強調理解而非死記硬背的重要性。
empirical,adj.,經驗的,The scientist based her conclusions on empirical data collected from experiments.,這位科學家將她的結論建立在從實驗中收集到的經驗數據上。
enforce,v.,執行,The police are responsible for enforcing traffic laws.,警察負責執行交通法規。
enhance,v.,提升,Regular exercise can enhance your physical and mental well-being.,規律運動可以提升你的身心健康。
entity,n.,實體,The school is an independent entity within the education system.,這所學校是教育體系內的一個獨立實體。
envision,v.,展望,She envisions a future where technology helps solve global challenges.,她展望一個科技有助於解決全球挑戰的未來。
equivalent,adj.,相等的,One US dollar is roughly equivalent to thirty New Taiwan dollars.,一美元大約等於三十新台幣。
erode,v.,侵蝕,Coastal areas are particularly vulnerable to erosion by strong waves.,沿海地區特別容易受到巨浪侵蝕。
evaluate,v.,評估,Students will be asked to evaluate the effectiveness of the new teaching methods.,學生將被要求評估新教學方法的有效性。
acquire,v.,獲得,Students can acquire new knowledge by reading widely and asking questions.,學生可以透過廣泛閱讀和提問來獲得新知識。
adapt,v.,適應,It's important to adapt to new study methods when you enter high school.,進入高中時，適應新的學習方法很重要。
adequate,adj.,足夠的,Make sure you get adequate sleep before the big exam.,在大考前確保你獲得充足的睡眠。
allocate,v.,分配,The teacher decided to allocate more time for group discussions.,老師決定分配更多時間給小組討論。
alter,v.,改變,The new policy will alter how students register for clubs.,新政策將改變學生社團註冊的方式。
analyze,v.,分析,We need to analyze the data carefully to draw accurate conclusions.,我們需要仔細分析數據以得出準確的結論。
anticipate,v.,預期,We anticipate that the school festival will attract a large crowd.,我們預期校慶將吸引大量人潮。
appreciate,v.,欣賞；感激,I truly appreciate your help with my science project.,我真的很感謝你幫我的科學專案。
arbitrary,adj.,任意的；武斷的,The rule seems arbitrary; there's no clear reason for it.,這條規則似乎很武斷；沒有明確的理由。
assert,v.,堅稱；主張,She asserted her right to express her own opinion during the debate.,她在辯論中堅稱自己有權表達意見。
assess,v.,評估,The teacher will assess our understanding through a written test.,老師將透過筆試評估我們的理解程度。
assume,v.,假定；承擔,Let's not assume he's wrong; we should hear his side of the story.,我們不要假定他是錯的；我們應該聽聽他的說法。
attain,v.,達到；獲得,With hard work, you can attain your academic goals.,透過努力，你可以達到你的學術目標。
attribute,v.,歸因於,He attributed his success to his parents' constant support.,他將自己的成功歸因於父母持續的支持。
authentic,adj.,真實的；道地的,This antique vase is believed to be an authentic piece from the Qing Dynasty.,這個古董花瓶被認為是清朝的真品。
bias,n.,偏見,It's important to avoid personal bias when writing a research paper.,撰寫研究報告時，避免個人偏見很重要。
boost,v.,提升；促進,Exercising regularly can boost your energy levels and mood.,規律運動可以提升你的能量水平和情緒。
capacity,n.,容量；能力,The school hall has a seating capacity of 500 people.,學校禮堂的容納量是500人。
clarify,v.,澄清,Could you please clarify what you mean by "critical thinking"?,你能否澄清一下你所說的「批判性思考」是什麼意思？
cohesive,adj.,有凝聚力的,A cohesive team works together effectively to achieve common goals.,一個有凝聚力的團隊能有效合作以達成共同目標。
commence,v.,開始,The graduation ceremony will commence at 9:00 AM sharp.,畢業典禮將於上午九點整開始。
compensate,v.,補償,The company offered to compensate customers for the delayed flight.,該公司提出為航班延誤的顧客提供補償。
compile,v.,編輯；彙編,She spent hours compiling a bibliography for her history report.,她花了數小時為她的歷史報告彙編參考書目。
comply,v.,遵守,All students must comply with the school's dress code policy.,所有學生都必須遵守學校的服儀規定。
component,n.,零件；組成部分,Hard work is a key component of success in any field.,努力是任何領域成功的一個關鍵組成部分。
confront,v.,面對,It's better to confront your problems directly than to avoid them.,直接面對你的問題比逃避它們更好。
consequently,adv.,因此,He studied diligently; consequently, he passed the exam with flying colors.,他勤奮學習；因此，他以優異的成績通過了考試。
consistent,adj.,一致的,To improve your English, consistent practice is essential.,為了提高你的英語，持續的練習是必不可少的。
constitute,v.,構成,These five elements constitute the basic structure of the universe.,這五個元素構成了宇宙的基本結構。
constrain,v.,限制；束縛,Limited resources may constrain the scope of our research project.,有限的資源可能會限制我們研究專案的範圍。
consume,v.,消耗；食用,Humans consume a large amount of natural resources every year.,人類每年消耗大量的自然資源。
contemplate,v.,沉思；考慮,He often contemplates his future career path during his free time.,他經常在空閒時間思考未來的職業道路。
contemporary,adj.,當代的,Contemporary art often reflects the social issues of our time.,當代藝術經常反映我們時代的社會問題。
contribute,v.,貢獻,Every student should contribute to keeping the classroom clean.,每個學生都應該為保持教室清潔做出貢獻。
controversy,n.,爭議,The new education reform sparked a lot of controversy among parents.,新的教育改革在家長中引發了許多爭議。
conventional,adj.,傳統的；慣例的,He prefers a conventional approach to problem-solving rather than innovative ones.,他偏好傳統的問題解決方法而非創新的。
correspond,v.,符合；通信,Your explanation doesn't correspond with the facts presented in the book.,你的解釋與書中呈現的事實不符。
criteria,n.,標準,What are the main criteria for evaluating a good essay?,評估一篇好文章的主要標準是什麼？
crucial,adj.,關鍵的,Having a positive attitude is crucial for overcoming challenges.,擁有積極的態度對於克服挑戰至關重要。
cultivate,v.,培養；耕作,It's important to cultivate good study habits from an early age.,從小培養良好的學習習慣很重要。
